,DELTAS,y_MMSEs
0,0.001,0.00020783102122340618
1,0.001200508057748408,0.0002496436355626833
2,0.0014412195967188532,0.000299718434493956
3,0.0017301957388458943,0.000359451247042617
4,0.0020771139259664543,0.00043167119931380966
5,0.0024935920049841583,0.0005185608277379842
6,0.0029935772947204905,0.0006223540796905465
7,0.003593813663804626,0.000746474109267464
8,0.004314402261443781,0.0008964545369108217
9,0.005179474679231213,0.001075911721823388
10,0.006218001087320915,0.0012919126302696493
11,0.00746476040841712,0.0015501416025727028
12,0.00896150501946605,0.001860006913151602
13,0.010758358985421785,0.002232536554401879
14,0.01291549665014884,0.0026784814535454125
15,0.015505157798326246,0.0032147115546191205
16,0.018614066873551213,0.003854920077179075
17,0.022346337269165937,0.004625160186396826
18,0.026826957952797246,0.005548018575055004
19,0.032205979187210826,0.006648493999816249
20,0.0386635375219241,0.00797277722341614
21,0.046415888336127774,0.009553140359276117
22,0.05572264795507174,0.011446487476825218
23,0.06689548786914143,0.013706057986023592
24,0.08030857221391513,0.016405396285066313
25,0.09641108804907496,0.019620964063549955
26,0.11574228805920567,0.02344573660014477
27,0.13894954943731375,0.028028741294675207
28,0.1668100537200059,0.03344207392730865
29,0.2002568136043117,0.039844245191173425
30,0.24040991835099718,0.04742693510540248
31,0.2886140441430087,0.05638874458106165
32,0.3464834855730366,0.066901639429827
33,0.4159562163071847,0.07920977599038118
34,0.4993587893473145,0.09356616691858678
35,0.5994842503189409,0.11020791765866854
36,0.7196856730011514,0.12939533114690455
37,0.8639884494839681,0.15152395293846846
38,1.037225095407057,0.17638538144989793
39,1.245197084735032,0.2050934507612028
40,1.4948691337092328,0.2368081872869378
41,1.7946024402973164,0.27229404602825474
42,2.154434690031882,0.31134014534157406
43,2.5864162052759685,0.3540485522561828
44,3.1050134951248602,0.39996602515470975
45,3.727593720314938,0.4500492041596773
46,4.475006297250449,0.5023112025447891
47,5.372281118324025,0.5566942305735402
48,6.449466771037621,0.6118258928075829
49,7.742636826811269,0.6680138769135152
50,9.295097898806484,0.7216808025871904
51,11.15883992507748,0.7716722292676538
52,13.396277245180142,0.8196856523544934
53,16.082338776670422,0.861053816931253
54,19.306977288832496,0.8958387927010091
55,23.1781818060089,0.9212118609844645
56,27.825594022071257,0.9430610928892953
57,33.404849835132445,0.9559176850954173
58,40.102791394952035,0.966795709729665
59,48.143724207843384,0.974862388009513
60,57.79692884153313,0.980037999877571
61,69.38567878737182,0.9818773990423066
62,83.29806647658256,0.9882368112828182
63,100.0,0.9905371768312624
