,DELTAS,y_MMSEs
0,0.001,0.0009981007496961832
1,0.0013894954943731374,0.0013858418571588828
2,0.0019306977288832496,0.0019236569112675837
3,0.0026826957952797246,0.0026691294882392673
4,0.003727593720314938,0.003701516864074927
5,0.005179474679231213,0.005129391212939418
6,0.0071968567300115215,0.007100911032623327
7,0.01,0.009816674512617368
8,0.013894954943731374,0.01354600486776772
9,0.019306977288832496,0.018646022643238183
10,0.026826957952797246,0.025582901535269622
11,0.0372759372031494,0.03495296764757683
12,0.0517947467923121,0.04749969543851625
13,0.07196856730011518,0.06412004978052173
14,0.1,0.08585223164894176
15,0.13894954943731375,0.11383443645853474
16,0.19306977288832497,0.14922098012408969
17,0.2682695795279725,0.19304476268178086
18,0.3727593720314938,0.24604166185285306
19,0.5179474679231207,0.3083699200061971
20,0.7196856730011514,0.3793952901861314
21,1.0,0.45740410193922476
22,1.3894954943731375,0.5395077432715235
23,1.9306977288832496,0.621774692227633
24,2.6826957952797246,0.6996093865379178
25,3.727593720314938,0.7687804807451823
26,5.179474679231207,0.8262910946033593
27,7.196856730011514,0.8720459335093373
28,10.0,0.9060214782987366
29,13.89495494373136,0.9311740361704892
30,19.306977288832496,0.9497480276273684
31,26.82695795279722,0.9642037185755257
32,37.27593720314938,0.9721275394838216
33,51.794746792312125,0.9873402748477105
34,71.96856730011514,0.9963206051194362
35,100.0,0.9465119754413962
