,DELTAS,y_MMSEs
0,0.01,0.00017879202966074835
1,0.013010252169108316,0.00022840905815721228
2,0.01692666615037876,0.0003074623572292927
3,0.022022019499873757,0.0004054784038646335
4,0.028651202696637804,0.0005281766741169272
5,0.0372759372031494,0.0007072352645132937
6,0.048496934285281984,0.0009085431550549944
7,0.0630957344480193,0.0012019226055630591
8,0.08208914159638253,0.0015801227868100787
9,0.10680004325145755,0.002045277474678933
10,0.13894954943731375,0.00267501721537991
11,0.1807768676963434,0.0035008032741692674
12,0.23519526350709588,0.004567638680399222
13,0.30599496872071963,0.0059530665763815604
14,0.39810717055349715,0.00776142646280964
15,0.517947467923121,0.010110804101405857
16,0.6738627168030944,0.013164659852473615
17,0.8767123872968682,0.0171434619895241
18,1.1406249238513202,0.02229259251086213
19,1.4839817889675646,0.02901167602072241
20,1.9306977288832496,0.03769068919075891
21,2.5118864315095797,0.048922654305734614
22,3.268027589410125,0.06344504770627779
23,4.25178630338289,0.08226028188015722
24,5.531681197617227,0.10637536957388605
25,7.196856730011521,0.13731071539265205
26,9.363292088239417,0.17666812274063304
27,12.181879120101147,0.22672277711225952
28,15.848931924611126,0.28920930532346034
29,20.61986009502219,0.36703405963087476
30,26.826957952797247,0.46010034139407097
31,34.90254878959579,0.5692998085378136
32,45.40909610972475,0.6899282653267917
33,59.078379115879436,0.8183798158992985
34,76.86246100397739,0.9109155085770482
35,100.0,0.9625962674618904
