,Y,S,Noise,Denoised
0,4.299606464299527,4.21304714136843,1.1114279390748754,4.121282314967979
1,4.255090138736386,4.172706527862731,1.1078623944277153,4.070971492519771
2,4.245043264687896,4.149323806493113,1.1074506307455452,4.0607484899015684
3,4.230044816647731,4.145550762790374,1.1065277805750853,4.04548545772885
4,4.227121390444078,4.137420342505498,1.105169916921044,4.042510228114011
5,4.2154628703161,4.117841735722577,1.1039976463590426,4.030644359579454
6,4.208781135807339,4.105647426834347,1.102377568791594,4.023843239957005
7,4.187640679504687,4.097899929775792,1.1022516165650185,4.002322394691224
8,4.1803569518172,4.089840765594589,1.1013131435650172,3.9949066615859072
9,4.168805925954385,4.082885211163757,1.0998910402008248,3.983145287972971
10,4.164206961494067,4.071555483505974,1.0989219460831539,3.9784622298874384
11,4.15599289756088,4.055820708191824,1.098026713539901,3.9700974769636677
12,4.147492788724371,4.05457420915971,1.0977987911597031,3.961440763691209
13,4.142813494298875,4.049883927799296,1.096834632738746,3.956674967285109
14,4.128750193373832,4.038949112093033,1.0964469805900454,3.9423504356996295
15,4.117922337358972,4.0297935936075024,1.0955837490448983,3.931320155503042
16,4.107506656335397,4.022090895686457,1.0945015264915547,3.920708684444865
17,4.102667497440358,4.0164571794343695,1.0937700569014892,3.9157782009831004
18,4.094720528754464,4.013727145768554,1.092987189669318,3.9076807587745197
19,4.08995001685313,4.00677190571928,1.0920860505512526,3.902819619674392
20,4.082052534295748,3.9902694618338894,1.0913970158832194,3.8947716100156686
21,4.0808680048050325,3.981906590088712,1.0911255985432964,3.8935644497354063
22,4.065415171861404,3.9798707367520594,1.090703412765815,3.8778150990511224
23,4.062962209804822,3.974332471361193,1.089222825568583,3.875314847219808
24,4.059409274251692,3.965327321083406,1.0890407333990253,3.87169330794482
25,4.05694759327757,3.96211711027113,1.0883997563234697,3.869184019237437
26,4.044068996904164,3.9543119798339474,1.0877236911923494,3.8560553501889685
27,4.041106359478168,3.9416517500437345,1.087347544717673,3.8530349448331895
28,4.034914198963477,3.937220633549439,1.0863549286792422,3.84672175249554
29,4.0340202742728275,3.9304674258839274,1.0859021199965655,3.845810322456668
30,4.020206028302423,3.9293742244926,1.0849262008285743,3.831724502631406
31,4.016553802534905,3.923834346760274,1.0845004243580483,3.8280001448941277
32,4.014201278829097,3.9203332334118723,1.0844091687995736,3.8256010843878654
33,4.006937095078454,3.9102755369548827,1.0836532178923135,3.8181928352057315
34,4.0027927637839325,3.9079913848732994,1.0835627977577744,3.813966062392426
35,3.999482384564091,3.90581783127238,1.0829056419625869,3.810589700164036
36,3.9900445787324057,3.9001310584773754,1.0821292657951727,3.80096313705127
37,3.9872265016211714,3.8902492549092464,1.081957014331256,3.7980885131430155
38,3.9826169426333693,3.8862489110415153,1.0811903625940538,3.793386275810944
39,3.9769652199021324,3.8841718554633538,1.080995055403559,3.7876206083029693
40,3.973208274396103,3.8747657166351495,1.0806273320081223,3.7837877272416334
41,3.960907326366857,3.8689134212198115,1.080241704640607,3.7712370753333304
42,3.957868440374875,3.866271705953699,1.0796378318259645,3.7681362458903185
43,3.9558118983042028,3.8631523376970653,1.0789684865500586,3.766037726395325
44,3.952285569391618,3.8547460912187144,1.0782302134625537,3.7624393106513345
45,3.943341705380207,3.8495001932362793,1.0777011599524886,3.753311994219252
46,3.942070390641426,3.8462757388552924,1.0775262154462308,3.7520145306435024
47,3.93652116570398,3.8383731669550487,1.0770852722317152,3.746350955970828
48,3.931960150621051,3.8340189985531197,1.0763861765233316,3.7416956962956185
49,3.9291510942413446,3.831734441246038,1.0760608953543547,3.738828479778964
50,3.9192023682170225,3.8283938143375043,1.0757400316759138,3.728673053239054
51,3.913937610242656,3.816568087290422,1.075013015519382,3.723298456860696
52,3.9102109464059116,3.8135285644392174,1.0745071183794086,3.7194938525703827
53,3.9072336547682234,3.8133647683050267,1.07428372656836,3.7164541787595113
54,3.898998411659488,3.8092925854099566,1.0739350749046899,3.708045854479274
55,3.8956838618613725,3.802783792352842,1.0733942044967228,3.7046614213458047
56,3.893624443946904,3.7968910629081347,1.0729596956638399,3.702558518921038
57,3.8882974147894966,3.792683927212518,1.072283216619068,3.6971187810925112
58,3.877688609492349,3.7877013258141274,1.0721378842234548,3.6862845283104324
59,3.8736381861435665,3.7789550772312976,1.0715676856089762,3.6821476807042597
60,3.868109974690574,3.7760205703968457,1.071320509952258,3.6765012004620514
61,3.861796130833483,3.7651701428039512,1.070432547583422,3.670051836558112
